longitude,latitude,Address,city,area,pType,subType,,-0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10
91.18334899,23.35796186,"Comilla Sadar Dakshin, Comilla", Comilla,Comilla Sadar Dakshin,Admin,Upazilla,,,,,,,,,,,,
91.28199732,22.77013089,"Companiganj, Noakhali", Noakhali,Companiganj,Admin,Upazilla,,,,,,,,,,,,
91.77342734,25.07969163,"Companiganj, Sylhet", Sylhet,Companiganj,Admin,Upazilla,,,,,,,,,,,,
89.50527191,22.60228408,"Dacope, Khulna", Khulna,Dacope,Admin,Upazilla,,,,,,,,,,,,
91.31904602,22.91507691,"Daganbhuiyan, Feni", Feni,Daganbhuiyan,Admin,Upazilla,,,,,,,,,,,,
91.41070893,24.91253485,"Dakshin Sunamganj, Sunamganj", Sunamganj,Dakshin Sunamganj,Admin,Upazilla,,,,,,,,,,,,
91.87697556,24.81609568,"Dakshin Surma, Sylhet", Sylhet,Dakshin Surma,Admin,Upazilla,,,,,,,,,,,,
90.42165716,23.13681297,"Damudya, Shariatpur", Shariatpur,Damudya,Admin,Upazilla,,,,,,,,,,,,
88.78738403,23.61181198,"Damurhuda, Chuadanga", Chuadanga,Damurhuda,Admin,Upazilla,,,,,,,,,,,,
90.56167603,22.28655503,"Dashmina, Patuakhali", Patuakhali,Dashmina,Admin,Upazilla,,,,,,,,,,,,
90.72097778,23.54258616,"Daudkandi, Comilla", Comilla,Daudkandi,Admin,Upazilla,,,,,,,,,,,,
90.73608398,22.60640442,"Daulatkhan, Bhola", Bhola,Daulatkhan,Admin,Upazilla,,,,,,,,,,,,
89.7976769,23.95574016,"Daulatpur, Manikganj", Manikganj,Daulatpur,Admin,Upazilla,,,,,,,,,,,,
89.52415466,22.87301196,"Daulatpur, Khulna", Khulna,Daulatpur,Admin,Upazilla,,,,,,,,,,,,
88.8392206,24.02723171,"Daulatpur, Kushtia", Kushtia,Daulatpur,Admin,Upazilla,,,,,,,,,,,,
88.98719788,22.58168054,"Debhata, Satkhira", Satkhira,Debhata,Admin,Upazilla,,,,,,,,,,,,
90.98602295,23.60363265,"Debidwar, Comilla", Comilla,Debidwar,Admin,Upazilla,,,,,,,,,,,,
88.75837326,26.12230531,"Debiganj, Panchagarh", Panchagarh,Debiganj,Admin,Upazilla,,,,,,,,,,,,
89.97528076,24.16930793,"Delduar, Tangail", Tangail,Delduar,Admin,Upazilla,,,,,,,,,,,,
91.336007,24.7874958,"Derai, Sunamganj", Sunamganj,Derai,Admin,Upazilla,,,,,,,,,,,,
89.77924347,25.14466303,"Dewanganj, Jamalpur", Jamalpur,Dewanganj,Admin,Upazilla,,,,,,,,,,,,
88.83682251,25.16144447,"Dhamoirhat, Naogaon", Naogaon,Dhamoirhat,Admin,Upazilla,,,,,,,,,,,,
89.93331719,24.68671865,"Dhanbari, Tangail", Tangail,Dhanbari,Admin,Upazilla,,,,,,,,,,,,
91.04073298,25.01078705,"Dharampasha, Sunamganj", Sunamganj,Dharampasha,Admin,Upazilla,,,,,,,,,,,,
90.44906616,25.11295847,"Dhobaura, Mymensingh", Mymensingh,Dhobaura,Admin,Upazilla,,,,,,,,,,,,
89.55032509,24.68254894,"Dhunat, Bogra", Bogra,Dhunat,Admin,Upazilla,,,,,,,,,,,,
89.18289185,24.87896163,"Dhupchanchia, Bogra", Bogra,Dhupchanchia,Admin,Upazilla,,,,,,,,,,,,
89.53273773,22.89199024,"Dighalia, Khulna", Khulna,Dighalia,Admin,Upazilla,,,,,,,,,,,,
92.04985012,23.3993417,"Dighinala, Khagrachhari", Khagrachhari,Dighinala,Admin,Upazilla,,,,,,,,,,,,
88.94943237,26.14434343,"Dimla, Nilphamari", Nilphamari,Dimla,Admin,Upazilla,,,,,,,,,,,,
88.63461882,25.62610055,"Dinajpur Sadar, Dinajpur", Dinajpur,Dinajpur Sadar,Admin,Upazilla,,,,,,,,,,,,
