adm3_en,Satkhira,bound
Fakirhat,Bagerhat,"[[[[89.58259500300005, 22.64695933200005], [89.60092308800006, 22.645060921000038], [89.61663223000005, 22.651435039000035], [89.62554883300004, 22.67733814500008], [89.64682678400004, 22.68051414200005], [89.64158402800007, 22.680915506000076], [89.64526901600004, 22.691217677000054], [89.64038366000005, 22.71130740500007], [89.65314331300004, 22.719786637000027], [89.66467609800009, 22.72284798100003], [89.67840830800003, 22.719841135000024], [89.67945102200008, 22.723040325000056], [89.70053247400006, 22.716736679000064], [89.71722051800003, 22.73013928000006], [89.73123615700007, 22.73078424700003], [89.73739626600008, 22.747303669000075], [89.74760612100005, 22.752399913000033], [89.74255177000003, 22.769343924000054], [89.74564644600008, 22.781688376000034], [89.75505331400007, 22.792208730000027], [89.76770900800005, 22.79034611000003], [89.77164558600003, 22.78075121100005], [89.77944713200009, 22.784251459000075], [89.77277851000008, 22.795585904000063], [89.77699162900007, 22.800973680000027], [89.77527119500007, 22.811414780000064], [89.76735370000006, 22.811515497000073], [89.76413317400005, 22.819650392000028], [89.75726199500008, 22.81469893700006], [89.75711518000008, 22.80784751300007], [89.75039782500005, 22.80867868300004], [89.75173152100007, 22.79407526500006], [89.72276094200004, 22.803528148000055], [89.70763826900009, 22.823921992000066], [89.68012438600005, 22.816494307000028], [89.67495684200009, 22.81102189300003], [89.67690064400006, 22.79650623400005], [89.66593277500004, 22.79887162700004], [89.66105975800008, 22.776231478000057], [89.65492734100008, 22.77245158200003], [89.65719938300003, 22.758133301000044], [89.64930680000003, 22.753007618000026], [89.64420517600007, 22.774118748000035], [89.63113314400005, 22.762876617000074], [89.61832718200003, 22.77582617300004], [89.61124771300007, 22.773978928000076], [89.60856934600008, 22.752735698000038], [89.59876477100005, 22.738841886000046], [89.59841292000004, 22.722276916000055], [89.58528907600004, 22.71747053100006], [89.58934829200007, 22.709869844000025], [89.60096289800003, 22.709522364000065], [89.60267147500008, 22.702130553000075], [89.56952171400008, 22.690520641000035], [89.57870803400004, 22.677849897000044], [89.57985494700006, 22.669350484000063], [89.57326147900005, 22.66238866200007], [89.58259500300005, 22.64695933200005]]]]"
Faridganj,Chandpur,"[[[[90.73050595100005, 23.04187378000006], [90.74334031600006, 23.055556468000077], [90.75460091100007, 23.05987166400007], [90.75205493100003, 23.067553864000047], [90.76963044000007, 23.077185232000033], [90.79310202700003, 23.079029267000067], [90.78982444700006, 23.085250678000023], [90.79621160900007, 23.11839043200007], [90.81515181300006, 23.122136012000055], [90.82133610400007, 23.133455253000022], [90.83630484600008, 23.13815035600004], [90.83933378600005, 23.14823223600007], [90.85105534700006, 23.154142223000065], [90.84589873100003, 23.159658458000024], [90.84657037300008, 23.166949843000054], [90.87401326600008, 23.17342536500007], [90.86990413300003, 23.18130308900004], [90.87204479100006, 23.188519007000025], [90.86457691900006, 23.18672263900004], [90.86052062600004, 23.192220314000053], [90.84853593200006, 23.193887548000077], [90.84768498300008, 23.199661151000043], [90.84130776700005, 23.201319557000033], [90.83624567600003, 23.218247132000045], [90.82901821400009, 23.212850025000023], [90.82792178800008, 23.217993669000066], [90.82274197400005, 23.215679712000053], [90.82138699200004, 23.224931688000026], [90.81485194200008, 23.22519546600006], [90.80424772700007, 23.22296594100004], [90.79714333800007, 23.21529161500007], [90.78356913400006, 23.225289016000033], [90.77681250400008, 23.21926725800006], [90.77748305100005, 23.22873867000004], [90.76979431100006, 23.219190558000037], [90.76834717700007, 23.225259711000035], [90.76129779600006, 23.22210828200008], [90.76126372300007, 23.235705494000058], [90.74770302100006, 23.21739802600007], [90.73686137100003, 23.227485154000078], [90.73698245600008, 23.234074534000058], [90.72160385300003, 23.22169987700005], [90.72570398900007, 23.21902029000006], [90.72471205900007, 23.202835865000054], [90.71418218600007, 23.206195106000052], [90.69990017500004, 23.19204727600004], [90.70565711900008, 23.18700608900008], [90.69305134900009, 23.174194791000048], [90.70009998500007, 23.173054828000033], [90.70047654800004, 23.154118573000062], [90.68815988500006, 23.139823513000067], [90.69048917800006, 23.134407133000025], [90.68356901200008, 23.135222019000025], [90.68264409100004, 23.108054949000064], [90.67628267200007, 23.104770062000057], [90.67638246200005, 23.099103141000057], [90.68410931100004, 23.09138843900007], [90.68067722300003, 23.082536272000027], [90.69037606100005, 23.06307326800004], [90.70672851100005, 23.058151418000023], [90.73050595100005, 23.04187378000006]]]]"
Faridpur,Pabna,"[[[[89.36190389200004, 24.12149473200003], [89.36979135900003, 24.121089432000076], [89.37802738000005, 24.111739078000028], [89.38974438700006, 24.116010422000045], [89.40027249700006, 24.104351286000053], [89.41046961900008, 24.11259532400004], [89.41779403100008, 24.10286949700003], [89.41835320700005, 24.089482909000026], [89.43778009400006, 24.088598750000074], [89.44496601600008, 24.091601602000026], [89.44874703900007, 24.10052193000007], [89.44278989600008, 24.116607680000072], [89.44959131400003, 24.118731696000054], [89.45252345900008, 24.131461460000025], [89.46190247800007, 24.12359579500003], [89.46979096200005, 24.130383234000078], [89.48280331300003, 24.125941795000074], [89.48558378000007, 24.132549036000057], [89.49800209500006, 24.13831607000003], [89.50693423700005, 24.130594046000056], [89.51374661200003, 24.133153314000026], [89.51701841000005, 24.140598149000027], [89.52314755700007, 24.138986015000057], [89.52126231700004, 24.14389802900007], [89.52811601200005, 24.14619768800003], [89.52168856600008, 24.15424436400008], [89.52936293500005, 24.159727488000044], [89.52278134800008, 24.167777664000027], [89.53354555900006, 24.166693820000035], [89.53511852700007, 24.172804228000075], [89.51786022200008, 24.178791885000066], [89.51597403700003, 24.186267171000054], [89.52462452500004, 24.19390717700003], [89.51021066200008, 24.19984856700006], [89.50335409700006, 24.216302797000026], [89.48967047400004, 24.21714155600006], [89.48571714800005, 24.214356042000077], [89.48591386200007, 24.203754417000027], [89.46976558300008, 24.20060227600004], [89.46143130300004, 24.22457178700006], [89.47346665900005, 24.219207191000066], [89.47816598800006, 24.229369517000066], [89.47112868500005, 24.234537406000072], [89.46836933100008, 24.230228081000064], [89.45135432400008, 24.229071477000048], [89.45126903400006, 24.217227628000046], [89.43521455700005, 24.213284696000073], [89.43549869700007, 24.218641614000035], [89.42815912800006, 24.221643837000045], [89.42452184500007, 24.213656185000048], [89.41799997200008, 24.21558340100006], [89.41945229800007, 24.207828368000037], [89.40970347300004, 24.201394699000048], [89.41039959900007, 24.19134103700003], [89.40309578800003, 24.19183589100004], [89.39795985000006, 24.175301024000078], [89.40287611200006, 24.170676300000025], [89.40125024400004, 24.164141603000076], [89.39466601900006, 24.165928758000064], [89.39890617600008, 24.158086698000034], [89.40273966100006, 24.160129401000063], [89.41046660300003, 24.152972354000042], [89.40067656500008, 24.147318664000068], [89.40307679700004, 24.139405431000057], [89.39923444500005, 24.13570366500005], [89.39202128200003, 24.135448188000055], [89.39072242100008, 24.154470856000046], [89.38300469500007, 24.15293266200007], [89.37343964000007, 24.16415636000005], [89.36676110400003, 24.16066508800003], [89.36012025500008, 24.147208782000064], [89.37067421800003, 24.142026059000045], [89.36190389200004, 24.12149473200003]]]]"
Faridpur Sadar,Faridpur,"[[[[89.78579706300008, 23.48727593700005], [89.80894265700005, 23.50842724100005], [89.82575332900007, 23.497448251000037], [89.83959326900003, 23.505397970000047], [89.84251939800004, 23.503126353000027], [89.84653007600008, 23.51704217100007], [89.86852403500006, 23.520400520000067], [89.86715887500009, 23.533681674000036], [89.88464991100005, 23.540388429000075], [89.90180994300005, 23.558586215000048], [89.92249172000004, 23.55847877800005], [89.91379763600008, 23.569552448000024], [89.90753374600007, 23.590761357000076], [89.89397834500005, 23.60393892700006], [89.89803738600006, 23.620490877000066], [89.90928135200005, 23.63134737100006], [89.92405799300008, 23.630292260000033], [89.93155675500003, 23.638154275000034], [89.93220591800008, 23.657356538000045], [89.92084687500005, 23.668474423000077], [89.89687192300005, 23.674179739000067], [89.86490040800004, 23.718870982000055], [89.84422253600007, 23.713033937000034], [89.84636995600005, 23.701068342000042], [89.84060470200006, 23.70926306100006], [89.81918396300006, 23.714738719000025], [89.81250538900008, 23.721957462000034], [89.79136366600005, 23.71171559100003], [89.79418928300004, 23.687857871000062], [89.78983683900003, 23.682885739000028], [89.75680846300008, 23.67836791800005], [89.75573442500007, 23.66655316400005], [89.73850497100005, 23.666260841000053], [89.73229813500006, 23.677615615000036], [89.72130629400004, 23.672598340000036], [89.72833716500008, 23.666329162000068], [89.73041899700007, 23.655087096000045], [89.73144434800008, 23.636453266000046], [89.72604389600008, 23.630438755000057], [89.72843241500004, 23.618984933000036], [89.74960874600004, 23.60510275400003], [89.75422513100006, 23.593487207000067], [89.74066666000004, 23.58958106700004], [89.74170080800008, 23.583402672000034], [89.73015005600007, 23.581582696000055], [89.71199814800008, 23.596800809000058], [89.71310533400003, 23.589369460000057], [89.70098329200005, 23.587812162000034], [89.70587156000005, 23.57745017900004], [89.68886794300005, 23.550646726000025], [89.70673024500007, 23.55015470400008], [89.74289411700005, 23.523217258000045], [89.74779071400008, 23.52524693400005], [89.74953181400008, 23.511421555000027], [89.75520577100008, 23.505068605000076], [89.75946245300008, 23.507277566000027], [89.76975282000006, 23.501850235000063], [89.76888518400006, 23.49424945900006], [89.78579706300008, 23.48727593700005]]]]"
Fatikchhari,Chittagong,"[[[[91.87044979300003, 22.56080865100006], [91.87832455000006, 22.59458563900006], [91.88828792100009, 22.59719258800004], [91.89247825500007, 22.61011355000005], [91.89888273600008, 22.611192937000055], [91.89864821600008, 22.62081031300005], [91.91089227200007, 22.620194205000075], [91.91333328000007, 22.625297750000072], [91.90800578600005, 22.629621309000072], [91.91521655200006, 22.635328326000035], [91.91371545400006, 22.643057334000048], [91.90796946300009, 22.644819315000063], [91.91707729800004, 22.667439414000057], [91.92315830500007, 22.666226992000077], [91.92358537600006, 22.657471217000023], [91.93472138000004, 22.657111076000035], [91.94297835700007, 22.668957007000074], [91.93689857300006, 22.677219396000055], [91.92572874700005, 22.680367158000024], [91.92878922300008, 22.692837784000062], [91.92393524800008, 22.69923462400004], [91.90896320700006, 22.699265275000073], [91.89773837100006, 22.69233482800007], [91.88330493100005, 22.697237302000076], [91.87676956500007, 22.717771132000053], [91.88359869700008, 22.75165829900004], [91.89538287100004, 22.75254013400007], [91.88933289800008, 22.756437309000034], [91.88695479400008, 22.765832998000064], [91.87490452800006, 22.767608379000023], [91.85645288700005, 22.756992902000036], [91.85474389100006, 22.762162664000073], [91.86025249600004, 22.769460622000054], [91.85681217300004, 22.777705121000054], [91.85104491000004, 22.773850663000076], [91.85225637900004, 22.76985840900005], [91.83773270300009, 22.78220705500007], [91.83262625500004, 22.77558237100004], [91.83056810800008, 22.784408218000067], [91.83475466600004, 22.79032194100006], [91.81202357300003, 22.79328762700004], [91.79287920700006, 22.76882042400007], [91.79023293100005, 22.783284525000056], [91.77548731800005, 22.794005946000027], [91.76584380300005, 22.81650837600006], [91.76523740900006, 22.831807183000024], [91.75540191500005, 22.843601659000058], [91.75474830000007, 22.862088524000058], [91.74515936000006, 22.872148120000077], [91.72808212200005, 22.873027145000037], [91.72929921300005, 22.877747733000035], [91.71642267200008, 22.886940639000045], [91.72523240000004, 22.906823581000026], [91.72089380500006, 22.91439609100007], [91.72571666200008, 22.938369458000068], [91.73064103500008, 22.940223564000064], [91.72574879800004, 22.942153545000053], [91.72847189100008, 22.955938054000057], [91.71813144400005, 22.967272784000045], [91.71310532200005, 22.988694200000054], [91.70874764200005, 22.981984514000033], [91.70224144200006, 22.98880373700007], [91.69361062100006, 22.98844667800006], [91.68168510700008, 22.977388433000044], [91.65766292600006, 22.98189940700007], [91.65802638000008, 22.978266570000073], [91.65129814600004, 22.97688196400003], [91.64532774700007, 22.98512696800003], [91.64566967600007, 22.97675120200006], [91.64074681200003, 22.975016738000022], [91.63560466000007, 22.961254737000047], [91.62450333000004, 22.961745888000053], [91.62547276400005, 22.944180811000024], [91.61464224500008, 22.932481892000055], [91.62825762100005, 22.903537113000027], [91.62920991200008, 22.885938758000066], [91.61689478500006, 22.854366311000035], [91.61909261000005, 22.837733402000026], [91.61458944300006, 22.82897766900004], [91.61560795100007, 22.815025994000052], [91.62860512200007, 22.786659686000064], [91.61964666000006, 22.786852503000034], [91.61479499700005, 22.778325966000068], [91.67908994500004, 22.65166425500007], [91.68006985600005, 22.64088515700007], [91.68479807400007, 22.633932052000034], [91.70803465700004, 22.631455247000076], [91.72167142500007, 22.614390005000075], [91.73289406300006, 22.616644068000028], [91.75565701100004, 22.604624733000037], [91.76295443400005, 22.607443957000044], [91.77128536600009, 22.623959481000043], [91.77803496800004, 22.624311790000036], [91.77853575800003, 22.634690031000048], [91.78910354600004, 22.63718546800004], [91.81825092400004, 22.605441615000075], [91.81568068100006, 22.588617901000077], [91.82360992600007, 22.584705790000044], [91.82830548900006, 22.575191865000022], [91.83715686600004, 22.57399225000006], [91.84448815000007, 22.562019917000043], [91.86442457900006, 22.578748544000064], [91.86322686100004, 22.562670727000068], [91.87044979300003, 22.56080865100006]]]]"
Fenchuganj,Sylhet,"[[[[92.02944943800009, 24.652591760000064], [92.03510308400007, 24.687376233000066], [92.03173238200009, 24.695635522000032], [92.02571865700008, 24.69707890600006], [92.03107615500005, 24.69953708500003], [92.02329191500007, 24.70620437200006], [92.01464446600005, 24.70703396600004], [92.01169014500005, 24.712565383000026], [91.98556669700008, 24.715373637000027], [91.99654691500007, 24.72565678500007], [91.98958222100003, 24.72545879100005], [91.98564762700005, 24.733974087000036], [91.97914378000007, 24.729666879000035], [91.95750910700008, 24.72979861600004], [91.95592744100009, 24.725524734000032], [91.95293711500005, 24.730409529000042], [91.96009804800008, 24.73585362800003], [91.95267420600004, 24.736202194000043], [91.94909041400007, 24.74980278000004], [91.92439240500005, 24.748306854000077], [91.89130170400006, 24.756955796000057], [91.89301280800004, 24.74309275400003], [91.90266050600007, 24.741041345000042], [91.90261394700008, 24.72961953600003], [91.90741713000006, 24.723366831000078], [91.91463473300007, 24.723138282000036], [91.91709571700005, 24.715788356000076], [91.91377076500004, 24.711768129000063], [91.90451957800008, 24.713410534000047], [91.90438415900007, 24.707271352000078], [91.89844109000006, 24.705828805000067], [91.90399905900006, 24.693523381000034], [91.91815043700007, 24.68879237400006], [91.91400057000004, 24.67502875400004], [91.90322848500006, 24.663645015000043], [91.91123582600005, 24.661735427000053], [91.90999511000007, 24.655677431000072], [91.92388843400005, 24.65256597800004], [91.93107667900006, 24.66177169100007], [91.93344327100004, 24.655112290000034], [91.96380949700006, 24.645729819000053], [91.96666440800004, 24.638923098000078], [91.98382980900004, 24.643907266000042], [91.99508198400008, 24.655105930000047], [92.02944943800009, 24.652591760000064]]]]"
Feni Sadar,Feni,"[[[[91.51154024800007, 22.90866991200005], [91.50616568300006, 22.927872102000038], [91.50057266600004, 22.932191855000042], [91.50523967700008, 22.940576793000048], [91.49885621100003, 22.955902570000035], [91.50916962700006, 22.97388048600004], [91.50687682500006, 22.982943257000045], [91.49081978800007, 22.99437309900003], [91.49159036000003, 23.012338286000045], [91.47463510800009, 23.016805127000055], [91.46382902600004, 23.011973701000045], [91.44423582600007, 23.014081893000025], [91.44292538900004, 23.00909659900003], [91.43874476200006, 23.013236649000078], [91.44945156000006, 23.03046530000006], [91.44777986500009, 23.039651500000048], [91.44118835500007, 23.03017445000006], [91.43465230000004, 23.036506238000072], [91.43261909900008, 23.03381521400007], [91.43096097300008, 23.03856612000004], [91.43652824800006, 23.041499997000074], [91.42995891400005, 23.044230602000027], [91.43352682800008, 23.050663154000063], [91.42233756600007, 23.06302449700007], [91.39664452500006, 23.056142055000066], [91.37189803300004, 23.069394405000025], [91.34348021100004, 23.068562893000035], [91.31632717700006, 23.05699704500006], [91.31439486200009, 23.042692067000075], [91.32251560100008, 23.032680354000036], [91.31450982700005, 23.029016934000026], [91.31463365600007, 23.01989996100008], [91.30522477300008, 23.01342296100006], [91.31661279700006, 23.013574208000023], [91.31917179400006, 23.021117625000045], [91.32663045300006, 23.01720716400007], [91.33308768700005, 23.020775223000044], [91.32283068600003, 23.009152096000037], [91.34212845600007, 23.004912398000045], [91.34199618000008, 22.997640107000052], [91.36060134200005, 22.99570437600005], [91.36652532300008, 22.985448646000066], [91.36190009700005, 22.975033078000024], [91.36866883900007, 22.96873044800003], [91.35514400800008, 22.969523452000033], [91.35804295300005, 22.962344907000045], [91.35416443200006, 22.95257461700004], [91.35867470300008, 22.94338626900003], [91.36601980400008, 22.942845650000038], [91.36706555300003, 22.959574218000057], [91.38115593400005, 22.95647673900004], [91.38421782200004, 22.943367015000035], [91.39246751200005, 22.944282112000053], [91.39057520000006, 22.929619890000026], [91.39482060500006, 22.919335016000048], [91.40112021100003, 22.917005257000028], [91.40622085600006, 22.91980121200004], [91.40443842600007, 22.92299501900004], [91.41071023300003, 22.923573332000046], [91.41766899600003, 22.919185180000056], [91.41848019600008, 22.909418644000027], [91.41939515400009, 22.913782368000057], [91.42871404400006, 22.913962427000058], [91.44008259100008, 22.93844887000006], [91.45035885800007, 22.929425321000053], [91.45754149700008, 22.932106254000075], [91.46648562800004, 22.922500124000067], [91.47011013000008, 22.918028175000074], [91.46846844400005, 22.904277600000057], [91.47358263300004, 22.901770284000065], [91.49764864400004, 22.903247703000034], [91.49303510200008, 22.905252647000054], [91.50039223500005, 22.910496654000042], [91.51154024800007, 22.90866991200005]]]]"
Fulbari,Dinajpur,"[[[[88.82369076100008, 25.401132068000038], [88.83714209400006, 25.401889959000073], [88.84116752200003, 25.394032527000036], [88.86917374400008, 25.387453497000024], [88.87139482100008, 25.392388285000038], [88.87763721800007, 25.390903283000057], [88.87713005800003, 25.40086129200006], [88.93044939600009, 25.408968999000024], [88.93133446100006, 25.403724683000064], [88.93953773300007, 25.40401772200005], [88.94139945000006, 25.394743530000028], [88.95400881400008, 25.398743058000036], [88.95597260400007, 25.40522962800003], [88.96621775200003, 25.40509941600004], [88.96501564400006, 25.410898203000045], [88.97900772600008, 25.421382511000047], [88.97436450000004, 25.433032383000068], [88.98172146200005, 25.433560443000033], [88.98929067200004, 25.447725055000035], [88.98599465200004, 25.461942751000038], [88.97081505400007, 25.468712073000063], [88.97261490000005, 25.47905800500007], [88.98187045400005, 25.481381070000054], [88.98754200400003, 25.48977728400007], [88.98427464000008, 25.494157219000044], [88.99062031200003, 25.500592907000055], [88.98602340700006, 25.507981870000037], [88.97210612800006, 25.50940813400007], [88.96024230700004, 25.517124343000035], [88.95771541400006, 25.536269407000077], [88.95321428900007, 25.537641971000028], [88.95826582700005, 25.54113856200007], [88.95572805900008, 25.550086831000044], [88.93566097800004, 25.557120231000056], [88.93296728400009, 25.552606757000035], [88.93790293600006, 25.539358536000066], [88.93199764600007, 25.53804807800003], [88.92916083200004, 25.55082724700003], [88.90183118300007, 25.563289170000076], [88.89981291500004, 25.55562270300004], [88.89056962100005, 25.55151003000003], [88.89373891500009, 25.54446340100003], [88.90160200600008, 25.547994974000062], [88.90430211500006, 25.543998226000042], [88.88904702000008, 25.538789571000052], [88.89556051500006, 25.527058219000025], [88.89379834300007, 25.521949491000044], [88.87036237300003, 25.52048796200006], [88.86941016600008, 25.513187671000026], [88.86320263700009, 25.510548218000054], [88.86273962200005, 25.51592954000006], [88.84895006600004, 25.515881147000073], [88.84525238800006, 25.522747111000058], [88.83596397400004, 25.52264427600005], [88.83786012900003, 25.529019936000054], [88.82228883500005, 25.535968925000077], [88.80570211600008, 25.530959950000067], [88.80488718600003, 25.523305552000068], [88.81059072500005, 25.523202753000078], [88.80800237900007, 25.51279968800003], [88.81374335000004, 25.48799258200006], [88.82964755700004, 25.490354701000058], [88.83927637700003, 25.458676050000065], [88.82649556900003, 25.444856869000034], [88.83426752300005, 25.431779320000032], [88.83442367700007, 25.42749339900007], [88.82854280000004, 25.426133829000037], [88.82994585700004, 25.41704926600005], [88.81827542400003, 25.418175447000067], [88.81238093500008, 25.41051036400006], [88.82319158100006, 25.40962806500005], [88.82369076100008, 25.401132068000038]]]]"
Fulbaria,Mymensingh,"[[[[90.23068602400008, 24.443451098000025], [90.24785864100005, 24.44192691300003], [90.25411312000006, 24.452789661000054], [90.25238376300007, 24.471550948000072], [90.26081829700007, 24.47205087100008], [90.26851573400006, 24.47946599000005], [90.27790645800007, 24.480052441000055], [90.29309523700005, 24.472147515000074], [90.30389302100008, 24.485344660000067], [90.32026164500007, 24.483910931000025], [90.32134218400006, 24.50983801900003], [90.32410915400004, 24.515850573000023], [90.33353628700007, 24.51860105700007], [90.33546290700008, 24.530831265000074], [90.34203609100007, 24.531002783000076], [90.34417517800006, 24.536362135000047], [90.32537822400008, 24.541935163000062], [90.32125176100004, 24.549712331000023], [90.32493169900005, 24.554730535000033], [90.32261004100008, 24.565138234000074], [90.34047021800006, 24.569935918000056], [90.33489053200003, 24.583670770000026], [90.34754759200007, 24.59170501600005], [90.35798430500006, 24.606893617000026], [90.35875352700003, 24.612496408000027], [90.35109122900008, 24.61674744000004], [90.34543729900008, 24.634557679000068], [90.33706642600004, 24.636862208000025], [90.32897491200004, 24.650449389000073], [90.33112630200009, 24.655439642000033], [90.32454779600005, 24.661214948000065], [90.34519855200006, 24.669687289000024], [90.33440492600005, 24.68607161700004], [90.34235010500004, 24.694298846000038], [90.33912599600006, 24.700158529000078], [90.32246888700007, 24.705246068000065], [90.30128441100004, 24.702750568000056], [90.29837870000006, 24.722284022000053], [90.29206101900007, 24.718560835000062], [90.28273004900007, 24.697896701000047], [90.26644499000008, 24.697884721000037], [90.26561706000007, 24.692350461000046], [90.25619638400008, 24.694212078000078], [90.25046666600008, 24.688741895000078], [90.24266309300003, 24.69549558400007], [90.23589840000005, 24.693950130000076], [90.22232773100006, 24.68245624900004], [90.19839073700007, 24.683354546000032], [90.19562687000007, 24.679093039000065], [90.20411904100007, 24.669004818000076], [90.20031488100005, 24.65493711000005], [90.18695827000005, 24.65318244100007], [90.18679826700009, 24.647970868000073], [90.17964614100003, 24.64597006200006], [90.18177324800007, 24.633205332000045], [90.18557039000007, 24.63205255500003], [90.17981599800004, 24.62721127900005], [90.18232632400003, 24.62324508300003], [90.17180299500006, 24.617434911000032], [90.17220929300004, 24.60774127600007], [90.16612207600008, 24.600459603000047], [90.14699369000004, 24.61272750100005], [90.13988961800004, 24.61048370800006], [90.13232036600004, 24.619199851000076], [90.12457879900006, 24.59715575100006], [90.13972782700006, 24.575701325000068], [90.15080936900006, 24.574727074000066], [90.14602161200008, 24.567563472000074], [90.15239300800005, 24.55000974400008], [90.16125539900008, 24.536689506000073], [90.16934532100004, 24.537660578000043], [90.17433851800007, 24.517844405000062], [90.18667919400008, 24.522921272000076], [90.19201793900004, 24.514051641000037], [90.20885711900007, 24.50868927700003], [90.20363142000008, 24.50164772000005], [90.20708394100006, 24.49733093800006], [90.21390259300006, 24.49967194000004], [90.22728489300005, 24.483218591000025], [90.23584735700007, 24.486791629000038], [90.24354355900005, 24.481354732000057], [90.22537104700007, 24.468566314000043], [90.22273804200006, 24.461651321000033], [90.20977244100004, 24.460198817000048], [90.21164241500009, 24.449944576000064], [90.22396938500003, 24.448968324000077], [90.23068602400008, 24.443451098000025]]]]"
Fulchhari,Gaibandha,"[[[[89.61354214000005, 25.09535526600007], [89.61930315400008, 25.099391742000023], [89.61862800200004, 25.110823701000072], [89.64940017300006, 25.111916192000024], [89.65176349100005, 25.143788991000065], [89.67198346300006, 25.169701270000076], [89.70121427900006, 25.23215271600003], [89.74888540200004, 25.23641930100007], [89.74865504800005, 25.26950550500004], [89.75633312200006, 25.280859340000063], [89.74491689300004, 25.29865998200006], [89.74217544200008, 25.319479511000054], [89.73273202800004, 25.33835435000003], [89.72910023000009, 25.335446044000037], [89.72418886000008, 25.345584595000048], [89.71718452700009, 25.344126970000048], [89.71423542100007, 25.367156229000045], [89.70480526900008, 25.37149038800004], [89.69846994500006, 25.383819584000037], [89.70197070600005, 25.38647946100008], [89.69196834700006, 25.386111181000047], [89.69078451300004, 25.363500533000035], [89.67960459400007, 25.36554125400005], [89.67852472700008, 25.350229713000033], [89.66422276000009, 25.332676083000024], [89.65601180700008, 25.332053218000055], [89.65497945000004, 25.322039188000076], [89.64235500300003, 25.325422119000052], [89.63919177900004, 25.33499366700005], [89.61941723600006, 25.33840095200003], [89.61175762000005, 25.33253533000004], [89.60720096900008, 25.336978170000066], [89.60368493000004, 25.326831883000068], [89.58023847100009, 25.331813943000043], [89.58323659100006, 25.32889540800005], [89.57633266900007, 25.322205487000076], [89.57765423400008, 25.31107508900004], [89.57184690600008, 25.306410388000074], [89.57724336000007, 25.307354420000024], [89.57898881600005, 25.301224226000045], [89.56941627800006, 25.293780739000056], [89.57765569900005, 25.294170303000044], [89.57261948100006, 25.283961884000064], [89.57839174400004, 25.276292830000045], [89.56826534200007, 25.276037788000053], [89.56388167600005, 25.269064514000036], [89.56922497900007, 25.26805014300004], [89.57041789400006, 25.259875210000075], [89.56105277300009, 25.250931558000048], [89.56836162300004, 25.251970183000026], [89.56705808000004, 25.23425320700005], [89.57424163600007, 25.23438188600005], [89.56690165400005, 25.221566281000037], [89.57716823400006, 25.219990791000043], [89.57515864600003, 25.21558141500003], [89.58675333200006, 25.201040891000048], [89.58530664100005, 25.192883746000064], [89.59280166000008, 25.193207098000073], [89.58502461000006, 25.185678086000053], [89.59413045800005, 25.18673511000003], [89.61272714700004, 25.17170688300007], [89.61080386000003, 25.164369371000078], [89.60256450700007, 25.163553335000074], [89.59948264400003, 25.152492989000052], [89.60568059000008, 25.14224211100003], [89.61178099900008, 25.15358234400003], [89.61706687400005, 25.150352337000072], [89.61467191600008, 25.126763717000074], [89.60565826500005, 25.11800715100003], [89.60731838900006, 25.099022970000078], [89.61354214000005, 25.09535526600007]]]]"
Fulgazi,Feni,"[[[[91.44022614700003, 23.044820431000062], [91.43874050600004, 23.05551311200003], [91.44376819400009, 23.063020954000024], [91.46387575300008, 23.06754584400005], [91.46561435100006, 23.074301569000056], [91.48368212800005, 23.072420344000022], [91.48261658500007, 23.076447031000043], [91.47322110100004, 23.077422832000025], [91.47273723300003, 23.09757231800006], [91.48738916900004, 23.098177758000077], [91.49141586700006, 23.107311586000037], [91.49750035700004, 23.104568292000067], [91.52033061800006, 23.114592732000062], [91.51534288000005, 23.117796958000042], [91.51757816000008, 23.125573092000025], [91.50308298200008, 23.130635186000063], [91.51480401700007, 23.138702312000078], [91.51526264000006, 23.14512191800003], [91.50813382700005, 23.13981018000004], [91.49867082300005, 23.142630448000034], [91.49468058100007, 23.14722226600003], [91.50716144900008, 23.15440475400004], [91.49428299300007, 23.152362219000054], [91.49031092200005, 23.158014216000026], [91.48124460400004, 23.14269428800003], [91.48223297000004, 23.135215579000032], [91.46098509800004, 23.129180047000034], [91.45957130100004, 23.137835557000074], [91.45090914200006, 23.13976469200003], [91.45257002400007, 23.14628526300004], [91.44042380000008, 23.15422581300004], [91.44593642200005, 23.162225629000034], [91.44284977300003, 23.174119421000057], [91.41779413800003, 23.172177806000036], [91.40400308300008, 23.16760954600005], [91.40255977000004, 23.16320546000003], [91.40201726200007, 23.181805474000043], [91.39234747700004, 23.18172196200004], [91.38515838600006, 23.175176016000023], [91.38474536500007, 23.156295172000057], [91.39725111000007, 23.13029424800004], [91.39692764200004, 23.11781415300004], [91.40336921600004, 23.11386517300008], [91.40019548000004, 23.09657686500003], [91.40600918100006, 23.097067001000028], [91.40805380700004, 23.08358172000004], [91.41741741700008, 23.08299233200006], [91.41079684000005, 23.066180083000063], [91.42233756600007, 23.06302449700007], [91.43335530400003, 23.051054758000078], [91.43015400500008, 23.043991197000025], [91.44022614700003, 23.044820431000062]]]]"
